Id;Label;Weight
242;Uranvaros;6653.5
243;urog also;540
244;urog felso;540
245;Varkonyi Nandor u.;5410
246;Vasarcsarnok;3756
247;Vasarter;2850
248;Vasasi elagazas;100
249;Vasasi iskola;630
250;Vasasi temeto;830
251;Vashid;830
252;Vegyesbolt;320
253;Zengo u.;400
254;Zsolnay Mauzoleum;60
255;Zsolnay-negyed;6003
256;Zsolnay-szobor;11207
