Source;Target;Type;Id;label;Weight
117;29;Directed;1178;10;208
29;196;Directed;1179;10;208
196;71;Directed;1180;10;208
71;70;Directed;1181;10;208
70;161;Directed;1182;10;208
161;266;Directed;1183;10;208
266;222;Directed;1184;10;208
222;12;Directed;1185;10;208
12;72;Directed;1186;10;208
72;65;Directed;1187;10;208
65;208;Directed;1188;10;208
208;143;Directed;1189;10;208
143;126;Directed;1190;10;208
126;143;Directed;1191;10;67
143;208;Directed;1192;10;67
208;17;Directed;1193;10;67
17;65;Directed;1194;10;67
65;72;Directed;1195;10;67
72;12;Directed;1196;10;67
12;222;Directed;1197;10;67
222;266;Directed;1198;10;67
266;161;Directed;1199;10;67
161;71;Directed;1200;10;67
71;196;Directed;1201;10;67
196;29;Directed;1202;10;67
29;117;Directed;1203;10;67
117;169;Directed;1204;10;67
169;107;Directed;1205;10;67
107;249;Directed;1206;10;67
249;111;Directed;1207;10;67
111;191;Directed;1208;10;67
191;190;Directed;1209;10;67
190;197;Directed;1210;10;67
197;190;Directed;1211;10Y;83
190;191;Directed;1212;10Y;83
191;111;Directed;1213;10Y;83
111;249;Directed;1214;10Y;83
249;107;Directed;1215;10Y;83
107;169;Directed;1216;10Y;83
169;117;Directed;1217;10Y;83
117;29;Directed;1218;10Y;83
29;196;Directed;1219;10Y;83
196;71;Directed;1220;10Y;83
71;70;Directed;1221;10Y;83
70;161;Directed;1222;10Y;83
161;266;Directed;1223;10Y;83
266;222;Directed;1224;10Y;83
222;93;Directed;1225;10Y;83
93;222;Directed;1226;10Y;83
222;12;Directed;1227;10Y;83
12;72;Directed;1228;10Y;83
72;65;Directed;1229;10Y;83
65;208;Directed;1230;10Y;83
208;143;Directed;1231;10Y;83
143;126;Directed;1232;10Y;83
126;143;Directed;1233;10Y;134
143;208;Directed;1234;10Y;134
208;17;Directed;1235;10Y;134
17;65;Directed;1236;10Y;134
65;72;Directed;1237;10Y;134
72;12;Directed;1238;10Y;134
12;222;Directed;1239;10Y;134
222;93;Directed;1240;10Y;134
93;222;Directed;1241;10Y;134
222;266;Directed;1242;10Y;134
266;161;Directed;1243;10Y;134
161;71;Directed;1244;10Y;134
71;196;Directed;1245;10Y;134
196;29;Directed;1246;10Y;134
29;117;Directed;1247;10Y;134
117;169;Directed;1248;10Y;134
169;107;Directed;1249;10Y;134
107;249;Directed;1250;10Y;134
249;111;Directed;1251;10Y;134
111;191;Directed;1252;10Y;134
191;190;Directed;1253;10Y;134
190;197;Directed;1254;10Y;134
65;208;Directed;1255;11;150
208;143;Directed;1256;11;150
143;126;Directed;1257;11;150
126;143;Directed;1258;11;150
143;273;Directed;1259;11;150
273;256;Directed;1260;11;150
256;53;Directed;1261;11;150
53;43;Directed;1262;11;150
43;146;Directed;1263;11;150
146;142;Directed;1264;11;150
142;192;Directed;1265;11;150
192;169;Directed;1266;11;150
169;141;Directed;1267;11;150
141;231;Directed;1268;11;150
231;32;Directed;1269;11;150
32;31;Directed;1270;11;150
31;16;Directed;1271;11;150
16;177;Directed;1272;11;150
177;276;Directed;1273;11;150
276;189;Directed;1274;11;150
189;46;Directed;1275;11;150
46;257;Directed;1276;11;150
257;3;Directed;1277;11;150
3;251;Directed;1278;11;150
251;130;Directed;1279;11;150
130;306;Directed;1280;11;150
306;297;Directed;1281;11;150
297;113;Directed;1282;11;150
113;233;Directed;1283;11;150
233;253;Directed;1284;11;150
253;163;Directed;1285;11;150
163;288;Directed;1286;11;150
288;39;Directed;1287;11;150
39;42;Directed;1288;11;150
42;39;Directed;1289;11;150
39;288;Directed;1290;11;150
288;163;Directed;1291;11;150
163;253;Directed;1292;11;150
253;233;Directed;1293;11;150
233;113;Directed;1294;11;150
113;297;Directed;1295;11;150
297;306;Directed;1296;11;150
306;130;Directed;1297;11;150
130;251;Directed;1298;11;150
251;3;Directed;1299;11;150
3;257;Directed;1300;11;150
257;46;Directed;1301;11;150
46;189;Directed;1302;11;150
189;276;Directed;1303;11;150
276;177;Directed;1304;11;150
177;16;Directed;1305;11;150
16;31;Directed;1306;11;150
31;32;Directed;1307;11;150
32;231;Directed;1308;11;150
231;169;Directed;1309;11;150
169;192;Directed;1310;11;150
192;142;Directed;1311;11;150
142;146;Directed;1312;11;150
146;43;Directed;1313;11;150
43;53;Directed;1314;11;150
53;256;Directed;1315;11;150
256;143;Directed;1316;11;150
143;126;Directed;1317;11;150
126;143;Directed;1318;11;150
143;208;Directed;1319;11;150
208;17;Directed;1320;11;150
17;65;Directed;1321;11;150
300;248;Directed;1322;12;291
248;114;Directed;1323;12;291
114;61;Directed;1324;12;291
61;67;Directed;1325;12;291
67;157;Directed;1326;12;291
157;142;Directed;1327;12;291
142;50;Directed;1328;12;291
50;69;Directed;1329;12;291
