Source;Target;Type;Id;label;Weight
179;213;Directed;1173;2;400
213;165;Directed;1174;2;400
165;252;Directed;1175;2;400
252;208;Directed;1176;2;400
208;41;Directed;1177;2;400
41;42;Directed;1178;3;700
42;194;Directed;1179;3;700
194;249;Directed;1180;3;700
249;244;Directed;1181;3;700
244;18;Directed;1182;3;700
18;152;Directed;1183;3;700
152;19;Directed;1184;3;700
19;32;Directed;1185;3;700
32;15;Directed;1186;3;700
15;210;Directed;1187;3;700
210;159;Directed;1188;3;700
159;30;Directed;1189;3;700
30;118;Directed;1190;3;700
118;209;Directed;1191;3;700
209;35;Directed;1192;3;750
35;75;Directed;1193;3;750
75;159;Directed;1194;3;750
159;210;Directed;1195;3;750
210;15;Directed;1196;3;750
15;32;Directed;1197;3;750
32;19;Directed;1198;3;750
19;152;Directed;1199;3;750
152;18;Directed;1200;3;750
18;244;Directed;1201;3;750
244;249;Directed;1202;3;750
249;194;Directed;1203;3;750
194;42;Directed;1204;3;750
42;41;Directed;1205;3;750
41;42;Directed;1206;3A;330
42;194;Directed;1207;3A;330
194;249;Directed;1208;3A;330
249;244;Directed;1209;3A;330
244;18;Directed;1210;3A;330
18;109;Directed;1211;3A;330
109;37;Directed;1212;3A;330
37;245;Directed;1213;3A;330
245;19;Directed;1214;3A;330
19;2;Directed;1215;3A;330
2;171;Directed;1216;3A;330
171;52;Directed;1217;3A;330
52;161;Directed;1218;3A;330
161;244;Directed;1219;3A;330
244;249;Directed;1220;3A;330
249;208;Directed;1221;3A;330
208;41;Directed;1222;3A;330
41;42;Directed;1223;4;351
42;194;Directed;1224;4;351
194;249;Directed;1225;4;351
249;139;Directed;1226;4;351
139;178;Directed;1227;4;351
178;219;Directed;1228;4;351
219;99;Directed;1229;4;351
99;98;Directed;1230;4;351
98;46;Directed;1231;4;351
46;78;Directed;1232;4;351
78;95;Directed;1233;4;351
95;137;Directed;1234;4;351
137;136;Directed;1235;4;351
136;221;Directed;1236;4;351
221;17;Directed;1237;4;351
17;91;Directed;1238;4;351
91;17;Directed;1239;4;312
17;221;Directed;1240;4;312
221;136;Directed;1241;4;312
136;78;Directed;1242;4;312
78;46;Directed;1243;4;312
46;98;Directed;1244;4;312
98;99;Directed;1245;4;312
99;219;Directed;1246;4;312
219;178;Directed;1247;4;312
178;139;Directed;1248;4;312
139;249;Directed;1249;4;312
249;194;Directed;1250;4;312
194;42;Directed;1251;4;312
42;41;Directed;1252;4;312
82;103;Directed;1253;5;180
103;175;Directed;1254;5;180
175;148;Directed;1255;5;180
148;47;Directed;1256;5;180
47;4;Directed;1257;5;180
4;81;Directed;1258;5;180
81;174;Directed;1259;5;180
174;110;Directed;1260;5;180
110;141;Directed;1261;5;180
141;110;Directed;1262;5;180
110;174;Directed;1263;5;180
174;81;Directed;1264;5;180
81;4;Directed;1265;5;180
4;47;Directed;1266;5;180
47;148;Directed;1267;5;180
148;175;Directed;1268;5;180
175;103;Directed;1269;5;180
103;82;Directed;1270;5;180
231;232;Directed;1271;6;550
232;40;Directed;1272;6;550
40;31;Directed;1273;6;550
31;198;Directed;1274;6;550
198;102;Directed;1275;6;550
102;157;Directed;1276;6;550
157;183;Directed;1277;6;550
183;124;Directed;1278;6;550
124;162;Directed;1279;6;550
162;34;Directed;1280;6;550
34;55;Directed;1281;6;550
55;24;Directed;1282;6;550
24;72;Directed;1283;6;550
72;176;Directed;1284;6;550
176;72;Directed;1285;6;550
72;24;Directed;1286;6;550
24;55;Directed;1287;6;550
55;34;Directed;1288;6;550
34;162;Directed;1289;6;550
162;124;Directed;1290;6;550
124;183;Directed;1291;6;550
183;157;Directed;1292;6;550
157;102;Directed;1293;6;550
102;198;Directed;1294;6;550
198;31;Directed;1295;6;550
31;40;Directed;1296;6;550
40;232;Directed;1297;6;550
232;231;Directed;1298;6;550
41;42;Directed;1299;7;550
42;25;Directed;1300;7;550
25;211;Directed;1301;7;550
211;85;Directed;1302;7;550
85;187;Directed;1303;7;550
187;84;Directed;1304;7;550
84;120;Directed;1305;7;550
120;105;Directed;1306;7;550
105;114;Directed;1307;7;550
114;64;Directed;1308;7;550
64;128;Directed;1309;7;550
128;83;Directed;1310;7;550
83;26;Directed;1311;7;550
26;123;Directed;1312;7;550
123;229;Directed;1313;7;550
229;223;Directed;1314;7;550
223;114;Directed;1315;7;550
114;105;Directed;1316;7;550
105;120;Directed;1317;7;550
120;84;Directed;1318;7;550
84;187;Directed;1319;7;550
187;85;Directed;1320;7;550
85;211;Directed;1321;7;550
211;25;Directed;1322;7;550
25;42;Directed;1323;7;550
42;41;Directed;1324;7;550
184;185;Directed;1325;8;252
185;79;Directed;1326;8;252
79;257;Directed;1327;8;252
257;189;Directed;1328;8;252
189;188;Directed;1329;8;252
188;236;Directed;1330;8;252
236;90;Directed;1331;8;252
90;234;Directed;1332;8;252
234;227;Directed;1333;8;252
227;251;Directed;1334;8;252
251;207;Directed;1335;8;252
207;248;Directed;1336;8;252
248;119;Directed;1337;8;252
119;106;Directed;1338;8;252
106;119;Directed;1339;8;252
119;248;Directed;1340;8;252
248;207;Directed;1341;8;252
207;251;Directed;1342;8;252
251;227;Directed;1343;8;252
227;234;Directed;1344;8;252
234;25;Directed;1345;8;252
25;90;Directed;1346;8;252
90;236;Directed;1347;8;252
236;188;Directed;1348;8;252
188;189;Directed;1349;8;252
189;257;Directed;1350;8;252
257;79;Directed;1351;8;252
79;185;Directed;1352;8;252
185;184;Directed;1353;8;252
231;242;Directed;1354;9;170
242;239;Directed;1355;9;170
239;241;Directed;1356;9;170
241;36;Directed;1357;9;170
36;220;Directed;1358;9;170
220;143;Directed;1359;9;170
143;246;Directed;1360;9;170
246;22;Directed;1361;9;170
22;205;Directed;1362;9;170
205;228;Directed;1363;9;170
228;205;Directed;1364;9;204
205;22;Directed;1365;9;204
22;246;Directed;1366;9;204
246;143;Directed;1367;9;204
143;220;Directed;1368;9;204
220;36;Directed;1369;9;204
36;241;Directed;1370;9;204
241;239;Directed;1371;9;204
239;231;Directed;1372;9;204
41;117;Directed;1373;11;150
117;201;Directed;1374;11;150
201;86;Directed;1375;11;150
86;181;Directed;1376;11;150
181;192;Directed;1377;11;150
192;21;Directed;1378;11;150
21;9;Directed;1379;11;150
9;226;Directed;1380;11;150
226;151;Directed;1381;11;150
151;166;Directed;1382;11;150
166;16;Directed;1383;11;150
16;151;Directed;1384;11;180
151;226;Directed;1385;11;180
226;203;Directed;1386;11;180
203;201;Directed;1387;11;180
201;117;Directed;1388;11;180
117;180;Directed;1389;11;180
180;41;Directed;1390;11;180
184;164;Directed;1391;12;650
164;154;Directed;1392;12;650
154;140;Directed;1393;12;650
140;3;Directed;1394;12;650
3;180;Directed;1395;12;650
180;208;Directed;1396;12;650
208;252;Directed;1397;12;650
252;165;Directed;1398;12;650
165;213;Directed;1399;12;650
213;179;Directed;1400;12;650
179;219;Directed;1401;12;650
219;243;Directed;1402;12;650
243;204;Directed;1403;12;650
204;67;Directed;1404;12;650
67;216;Directed;1405;12;650
216;68;Directed;1406;12;650
68;168;Directed;1407;12;600
168;67;Directed;1408;12;600
67;51;Directed;1409;12;600
51;204;Directed;1410;12;600
204;243;Directed;1411;12;600
243;219;Directed;1412;12;600
219;179;Directed;1413;12;600
179;213;Directed;1414;12;600
213;165;Directed;1415;12;600
165;252;Directed;1416;12;600
252;208;Directed;1417;12;600
208;200;Directed;1418;12;600
200;3;Directed;1419;12;600
3;140;Directed;1420;12;600
140;154;Directed;1421;12;600
154;164;Directed;1422;12;600
164;184;Directed;1423;12;600
184;164;Directed;1424;14;450
164;154;Directed;1425;14;450
154;140;Directed;1426;14;450
140;3;Directed;1427;14;450
3;180;Directed;1428;14;450
180;104;Directed;1429;14;450
104;247;Directed;1430;14;450
247;165;Directed;1431;14;450
165;213;Directed;1432;14;450
213;179;Directed;1433;14;450
179;219;Directed;1434;14;450
219;99;Directed;1435;14;450
99;98;Directed;1436;14;450
98;46;Directed;1437;14;450
46;87;Directed;1438;14;450
87;80;Directed;1439;14;450
80;87;Directed;1440;14;450
87;46;Directed;1441;14;450
46;98;Directed;1442;14;450
98;99;Directed;1443;14;450
99;219;Directed;1444;14;450
219;179;Directed;1445;14;450
179;213;Directed;1446;14;450
213;165;Directed;1447;14;450
165;247;Directed;1448;14;450
247;104;Directed;1449;14;450
104;180;Directed;1450;14;450
180;200;Directed;1451;14;450
200;3;Directed;1452;14;450
3;140;Directed;1453;14;450
140;154;Directed;1454;14;450
154;164;Directed;1455;14;450
164;184;Directed;1456;14;450
184;164;Directed;1457;14H;450
164;154;Directed;1458;14H;450
154;140;Directed;1459;14H;450
140;3;Directed;1460;14H;450
3;180;Directed;1461;14H;450
180;104;Directed;1462;14H;450
104;247;Directed;1463;14H;450
247;165;Directed;1464;14H;450
165;213;Directed;1465;14H;450
213;179;Directed;1466;14H;450
179;219;Directed;1467;14H;450
219;99;Directed;1468;14H;450
99;98;Directed;1469;14H;450
98;46;Directed;1470;14H;450
46;195;Directed;1471;14H;450
195;97;Directed;1472;14H;450
97;195;Directed;1473;14H;450
195;98;Directed;1474;14H;450
98;99;Directed;1475;14H;450
99;219;Directed;1476;14H;450
219;179;Directed;1477;14H;450
179;213;Directed;1478;14H;450
213;165;Directed;1479;14H;450
165;247;Directed;1480;14H;450
247;104;Directed;1481;14H;450
104;180;Directed;1482;14H;450
180;200;Directed;1483;14H;450
200;3;Directed;1484;14H;450
3;140;Directed;1485;14H;450
140;154;Directed;1486;14H;450
154;164;Directed;1487;14H;450
164;184;Directed;1488;14H;450
82;103;Directed;1489;15;30
103;175;Directed;1490;15;30
175;148;Directed;1491;15;30
148;47;Directed;1492;15;30
47;4;Directed;1493;15;30
4;81;Directed;1494;15;30
81;174;Directed;1495;15;30
174;233;Directed;1496;15;30
233;182;Directed;1497;15;30
182;130;Directed;1498;15;30
130;88;Directed;1499;15;30
88;170;Directed;1500;15;30
170;88;Directed;1501;15;30
88;130;Directed;1502;15;30
130;182;Directed;1503;15;30
182;233;Directed;1504;15;30
233;174;Directed;1505;15;30
174;81;Directed;1506;15;30
81;4;Directed;1507;15;30
4;47;Directed;1508;15;30
47;148;Directed;1509;15;30
148;175;Directed;1510;15;30
175;103;Directed;1511;15;30
103;82;Directed;1512;15;30
231;232;Directed;1513;16;320
232;199;Directed;1514;16;320
199;6;Directed;1515;16;320
6;144;Directed;1516;16;320
144;196;Directed;1517;16;320
196;132;Directed;1518;16;320
132;92;Directed;1519;16;320
92;48;Directed;1520;16;320
48;147;Directed;1521;16;320
147;74;Directed;1522;16;320
74;23;Directed;1523;16;320
23;74;Directed;1524;16;320
74;147;Directed;1525;16;320
147;48;Directed;1526;16;320
48;92;Directed;1527;16;320
92;132;Directed;1528;16;320
132;196;Directed;1529;16;320
196;144;Directed;1530;16;320
144;6;Directed;1531;16;320
6;199;Directed;1532;16;320
199;232;Directed;1533;16;320
232;231;Directed;1534;16;320
231;232;Directed;1535;16lyukob;80
232;199;Directed;1536;16lyukob;80
199;6;Directed;1537;16lyukob;80
6;144;Directed;1538;16lyukob;80
144;196;Directed;1539;16lyukob;80
