Id;Label;Weight
199;Nagycsere, iskola;171
200;Nagycsere, orvosi rendelo;171
201;Nagyerdei korut + Medgyessi setany;2982
202;Nagymacs;180
203;Nagymacs, Kastelykert u.;180
204;Nagymacs, vasutallomas;120
205;Nagyszentgyorgy u.;412
206;Napraforgo u.;180
207;Nador u. + Nador u., villamos + Malompark;4905
208;Nyek u.;792
209;Nyil u.;120
210;Nyiregyhazi u.;120
211;Nyugati Ipari Park;420
212;Nyugati Ipari Park, szervizut I.;210
213;Nyugati Ipari Park, szervizut II.;210
214;Ondod;180
215;Orgona u.;180
216;ovoda u.;120
217;Ozman u.;300
218;otemeto u.;1701
219;Pac;828
220;Pajtas u.;306
221;Pallag;295
222;Pallagi ut + Moricz Zsigmond ut;1740
223;Pafrany u. + Folias u.;543
224;Pal u.;312
225;Petofi Sandor alt. Isk.;907
226;Petofi ter;300
227;Peterfia dulo;120
228;Pohl Ferenc u.;1156
229;Posa u.;1460
230;Puttony u.;306
231;Rakoczi u. + Csapo u. + Burgundia u.;2916
232;Raktar u.;785
233;Regionalis Kepzo Kozpont;1393
234;repuloter;300
235;Ribizli u.;1156
236;Rigo u.;1636
237;Rozsavolgy u.;267
238;Rozsavolgy u. 133.;267
239;Rozsavolgy u. 175.;267
240;Rozsas Csarda;1653
241;Ruyter u.;222
242;Salakmotorpalya;690
243;Salakos bekotout;360
244;Samsoni ut;553
245;Sarga dulo 23.;120
246;Sarga dulo 33.;120
247;Sarga dulo 67.;120
248;Sarvari Pal u.;3530
249;Segner ter + Hatvan u. 57;8207
250;Sillye Gabor u.;279
251;Skalnitzky Antal u.;855
252;Somlyai u.;360
253;Solyom u.;1273
254;Sportkollegium;303
255;Sportuszoda;330
256;Szabo Lorinc u.;300
257;Szalok u. + Tizedes u.;1528
258;Szent Anna u.*, (Piac u., villamos) + Piac u. + Miklos u.;7706
259;Szent Anna u.;341
260;Szepes ;120
261;Szepes, bolt;120
262;Szechenyi u. + Tisza Istvan u.;1592
263;Szena ter;634
264;Szirom u. + Harmat u.;546
265;Szoboszloi ut;673
266;Szocialis Otthon;1449
267;Szotyori u. + Bartok Bela ut;630
268;Szovati elagazas;60
269;Szuret u.;543
270;Tabor bejaro ut;295
271;Tegez u.;650
272;Templom u.;383
