Id;Label;Weight
168;Rozgonyi u.;548
169;Sajo u.;520
170;Saras, Medvei u.;330
171;Sarkereki ut;390
172;Schwarzenberg u.;150
173;Somos u.;555
174;Soveny utca, iskola;765
175;Stadion u.;270
176;Stromfeld u.;1504
177;Sugar ut, ovoda;610
178;Sugar ut, Vajda u.;610
179;Szabadhegy, uj koztemeto;74
180;Szabadhegy, vasutallomas;340
181;Szabadi utcai lakotelep;148
182;Szabadrev u.;120
183;Szechenyi Istvan Egyetem;1747
184;Szent Imre ut, Jozsef Attila u. + Jozsef Attila utca, Szent Imre ut;640
185;Szent Imre ut, Megyei rendelo;640
186;Szent Imre ut, Nadas Erno u.;490
187;Szent Istvan ut, Iparkamara + Gardonyi Geza u.;5610
188;Szentvid u., (AUDI bejarati ut);270
189;Szigethy Attila ut, Eorsy Peter u.;120
190;Szigethy Attila ut, Fehervari ut;2331
191;Szigethy Attila ut, Kodaly Zoltan u.;1109
192;Szirom u.;270
193;Szivarvany u.;270
194;Szonyi Marton u.;512
195;Szovetseg u.;765
196;Szovo u.;216
197;Tatai ut, trafohaz;200
198;Tavirozsa u. (tanosveny);390
199;Teleki Laszlo u., szinhaz;150
200;Templom u.;708
201;Tihanyi arpad ut, adyvarosi to;2132
202;Tihanyi arpad ut, Ifjusag krt.;322
203;Tihanyi arpad ut, korhaz;3887
204;Torok Istvan u. + Szigethy Attila ut, konyvtar;2252
205;Torokvero ut;360
206;uj elet ut;320
207;ujvaros, Nep utca, templom;555
208;Vaci Mihaly, iskola;810
209;Vaci Mihaly u. 92;810
210;Vagohid u.;1280
211;Vajda u., Moricz Zsigmond iskola;610
212;Vamosi u.;885
213;Varga Katalin u.;708
214;Varoshaza + Aradi vertanuk utja, szokokut + Honved liget;6501
215;Vas Gereben u., P+R;660
216;Vasvari Pal u, korhaz, fobejarat;2983
217;Venyige u.;708
218;Viragpiac + Bajcsy-Zsilinszky ut;718
219;Viza u.;765
220;Viztukor u.;120
221;Vizivaros, korforgalom;120
222;Votinszky u.;765
223;Xantus Janos allatkert, mujegpalya;270
224;Zechmeister utca, Becsi kapu ter;1901
225;Zechmeister utca, Raba-part;2150
226;Zichy Otto u.;300
227;Zold u., Jerevani ut;512
228;Zold u., Soproni ut;100
229;Zold u., Szonyi Marton u.;1024
230;Zrinyi u., korhaz;1024
