Id;Label;Weight
202;Szivarvany kitero + Petofi Sandor sgt. + Moszkvai krt.;3297
203;Szori u.;1182
204;Szovetseg u.;1182
205;Szoreg, ABC;1176
206;Szoreg malom;1176
207;Szoregi Szabadidopark;576
208;Szunyog u.;543
209;Taban u. (Felso Tisza-part);2753
210;Tanacs u.;1182
211;Tarjan;2929
212;Tarjan, viztorony;5343
213;Tassi haz;1563
214;Tavasz u. + Tavasz u.;5061
215;Tape, alt. Isk;441
216;Tape, Csatar u.;873
217;Temesvari krt. (Nepkert sor) + Szent-Gyorgyi Albert u.;2082
218;Thokoly u.;1764
219;Tisza Volan Zrt.;1569
220;Torontal ter (P+R) + Napfenyfurdo;5119
221;Toltes u.;576
222;Traktor u.;576
223;Tucsok u.;543
224;Tuzolto u.;120
225;uj-Petofitelep;438
226;ujszeged, Gabonakutato;1140
227;ujszeged, Viztorony;1146
228;Vadaspark;1887
229;Vadkerti ter;1589
230;Vadkerti ter, buszfordulo;555
231;Vaspalya u.;600
232;Varosi Stadion;1437
233;Vasarhelyi Pal u. (Bakay Nandor u.);582
234;"Vasarhelyi Pal u.; Kossuth L. sgt.; Kisteleki u.";5641
235;Verbena u.;800
236;Veresacs u.;1314
237;Verto;5522
238;Vertoi ut;1160
239;Vitez u.;1615
240;Zagrab u.;441
241;Zapor u.;425
242;Zsambokreti sor;90
